,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel,province,city
3597,3670.0,7secs七秒彩妆口红持久保湿滋润防水不脱色学生豆沙正红姨妈色,39.9,397.0,浙江 嘉兴,7secs旗舰店,//detail.tmall.com/item.htm?id=548679534816&ns=1&abbucket=13,15840.3,天猫,商家,其他,20-40,浙江, 嘉兴
3601,3674.0,TOM FORD汤姆福特TF口红黑金黑管唇膏口红3g 07#16#15#9#香港直邮,265.0,403.0,香港 香港岛,钤濎行海外专营店,//detail.tmall.com/item.htm?id=545977373134&ns=1&abbucket=13,106795.0,天猫,商家,Ford/福特,260-280,香港, 香港岛
3603,3676.0,韩国自然共和国口红礼盒套装持久保湿不脱色防水润唇膏6支六色,258.0,32.0,北京,naturerepublic旗舰店,//detail.tmall.com/item.htm?id=558802572171&ns=1&abbucket=13,8256.0,天猫,商家,其他,240-260,北京,北京
3610,3684.0,【Alinda推荐】ANU阿奴植蔓彩韵唇膏精油口红蕴含玫瑰精油滋,158.0,221.0,江苏 南京,阿奴旗舰店,//detail.tmall.com/item.htm?id=559998387407&ns=1&abbucket=13,34918.0,天猫,商家,其他,140-160,江苏, 南京
3620,3694.0,BOB深海鱼油唇膏 学生款口红哑光持久保湿不易脱色滋润咬唇妆正品,24.5,335.0,广东 广州,bob施露兰专卖店,//detail.tmall.com/item.htm?id=539689796359&ns=1&abbucket=13,8207.5,天猫,商家,其他,20-40,广东, 广州
3630,3706.0,雅邦金管口红持久保湿不易脱色韩国学生琉金色豆沙色防水抖音唇膏,9.9,3963.0,上海,君晟世纪化妆品专营,//detail.tmall.com/item.htm?id=538399268833&ns=1&abbucket=13,39233.700000000004,天猫,商家,其他,0-20,上海,上海
3631,3707.0,CLIO珂莱欧口红保湿持久不掉色小红跟烈焰丝绒唇膏官方正品,143.0,248.0,韩国,clubclio海外旗舰店,//detail.tmall.com/item.htm?id=565187486067&ns=1&abbucket=13,35464.0,天猫,商家,其他,140-160,韩国,韩国
3639,3715.0,【官方正品】纪梵希高定香榭双色唇膏小羊皮 撞色口红持久滋润,355.0,78.0,上海,givenchy纪梵希官方旗舰店,//detail.tmall.com/item.htm?id=564853515839&ns=1&abbucket=13,27690.0,天猫,商家,Givenchy/纪梵希,340-360,上海,上海
3641,3717.0,丹帝晶钻炫彩口红持久保湿不脱色不沾杯易上色持妆滋润唇膏,89.0,159.0,广东 广州,丹帝化妆品旗舰店,//detail.tmall.com/item.htm?id=566355230151&ns=1&abbucket=13,14151.0,天猫,商家,其他,80-100,广东, 广州
3643,3719.0,【3支装】维他命口红持久保湿不脱色防水唇膏韩式学生款可爱正品,19.9,719.0,广东 深圳,卡奈姿旗舰店,//detail.tmall.com/item.htm?id=563117637517&ns=1&abbucket=13,14308.099999999999,天猫,商家,其他,0-20,广东, 深圳
