,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel
54,87.0,美国Revlon露华浓口红黑管唇膏哑光持久保湿不脱色豆沙225姨妈色,42.0,12907.0,北京,京都shop,//item.taobao.com/item.htm?id=527286024793&ns=1&abbucket=13#detail,542094.0,其他,个人,其他,40-60
55,88.0,Dior/迪奥2017新款黑管瘾诱超模漆光唇釉口红唇膏740保湿滋润显色,245.0,1439.0,江苏 南京,鲍鲍1128,//item.taobao.com/item.htm?id=557538171699&ns=1&abbucket=13#detail,352555.0,其他,个人,Dior/迪奥,240-260
56,89.0,现货秒发christian louboutin萝卜丁口红CL口红女王权杖CL唇膏,678.0,1064.0,上海,nice彩妆代购,//item.taobao.com/item.htm?id=539795424519&ns=1&abbucket=13#detail,721392.0,其他,个人,其他,400以上
57,92.0,citycolor城彩母亲节新品琉光幻彩唇釉长久保湿不脱色唇蜜不沾杯,59.0,3.0,福建 福州,citycolor化妆品旗舰店,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=1998618179&k=557&e=yeFTwkHK4W7slvCbP8EdjH9BdtJa6BmH6OPXSJTjcAM2xECv4XfOWTgL7rvuDI4doPzHtzdXETkucdRd0YfISSyakFY6pl3sP40BYR9NKH7KTFavXtaHo79gmEakMAkzAwnSO8yeb99jR5u2yKSzm%2FLC1axPzCZf3GXCdLYjJrLtatBfcDNEvcXEnjvKL6GBams%2F1uGtfq5dUrlD7FjkLjfqXy9MAa1r89KFLo0RTPUjHQ%2Bi5GIn2%2F0qwR9apJZzSEgF1yfWEYLchR6%2FyBU%2F2FI2c5vlS0xM6ZrpVDrU84oz0XPR3N2kAvvdYW8IALXCDkl6y1zYFvZ%2FoSK%2B3bx0GWHk%2BeUANiXCLK2veiLacCfHFvfSAoNvSOv7MStrDDvb6atnCOnhxlvayzmoa1s%2BjtXC5mr9EuDnGTYnJBHudLN6CVb1iy0eH4GmEwJXv0kIRzB%2FthMR%2BTc%2FKby3S%2FOaewDrndVcYkP6AR7RBWrNQuAsra96ItpwJwx8iJqjYsrmdD6%2BtEbRsamxy0AwQ%2BphDJHEhRkwChfa4rw7LSHrpXU%3D,177.0,其他,商家,其他,40-60
58,93.0,柏蕊诗密语丝绒口红鎏金金色姨妈人鱼姬姨妈色琉金唇膏哑光雾面,108.0,7.0,广东 广州,柏蕊诗化妆品旗舰店,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=1998618179&k=557&e=FDHGhDKTRpnslvCbP8EdjH9BdtJa6BmH6OPXSJTjcAM2xECv4XfOWTgL7rvuDI4doPzHtzdXETlZxHrXjm%2BAsEVBE3usEPqXABA61WXk8njKTFavXtaHo79gmEakMAkzAwnSO8yeb99jR5u2yKSzm%2FLC1axPzCZf3GXCdLYjJrLtatBfcDNEvcXEnjvKL6GBams%2F1uGtfq5dUrlD7FjkLjfqXy9MAa1r89KFLo0RTPUjHQ%2Bi5GIn2%2F0qwR9apJZzSEgF1yfWEYLchR6%2FyBU%2F2FI2c5vlS0xM6ZrpVDrU84oz0XPR3N2kAvvdYW8IALXCDkl6y1zYFvZ%2FoSK%2B3bx0GY1YR%2FmaeyhY42keXKMgjvtpSnFnrV62ObRc%2BxzXyg4DbbneVnKqOxniCwGet5TDhFCAk1vHdA5m8Ml8rnn2MXR6CVb1iy0eH4GmEwJXv0kIRzB%2FthMR%2BTc%2FKby3S%2FOaewDrndVcYkP6HLZc8ULcvUDjaR5coyCO%2B3bUFdA%2BXr3hdD6%2BtEbRsak0NtJnRXBzt07VcDCSE7gy1oHjoGn8srk%3D,756.0,其他,商家,其他,100-120
59,94.0,稚优泉口红正品持久保湿不脱色不沾杯星空抖音口红同款学生咬唇妆,59.0,22.0,广东 广州,枫溪电子科技,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=1998618179&k=557&e=zRwMl9L%2FdpzslvCbP8EdjH9BdtJa6BmH6OPXSJTjcAM2xECv4XfOWTgL7rvuDI4doPzHtzdXETkJ3E2ItzVo24dkGmWYH0Iv4XIJo1M5UlXKTFavXtaHo79gmEakMAkzAwnSO8yeb99jR5u2yKSzm%2FLC1axPzCZf3GXCdLYjJrLtatBfcDNEvcXEnjvKL6GBams%2F1uGtfq5dUrlD7FjkLjfqXy9MAa1r89KFLo0RTPUjHQ%2Bi5GIn2%2F0qwR9apJZzSEgF1yfWEYLchR6%2FyBU%2F2FI2c5vlS0xM6ZrpVDrU84oz0XPR3N2kAvvdYW8IALXCDkl6y1zYFvZ%2FoSK%2B3bx0GfuWNZNGDGJn8%2BAUauUdT3GX7JNH9ZWDDtFhI4Fuw3VnmcgNQS3KGMCVI1IY%2FLyrTwG2ncM43GxynUZAQQ9XUqJ6CVb1iy0eH7poujFzZQuJBVkq1VWYGfFo35Uykzd3liUzYR%2F%2BxMqXRyGotFVNnUgePHH%2BLZMu7xMb2FFhnwiKatYVaD2NGQwoDxIFw8sAul3LfwxuL0cHenIhXC6mJVo%3D#detail,1298.0,其他,个人,Chioture/稚优泉,40-60
60,95.0,【官方正品】阿玛尼黑管口红唇釉 持久保湿不脱色人鱼姬斩男色500,310.0,5935.0,江苏 苏州,阿玛尼美妆官方旗舰店,//detail.tmall.com/item.htm?id=562055723936&ns=1&abbucket=13,1839850.0,天猫,商家,其他,300-320
61,96.0,美国Pat Mcgrath 哑光限量口红雾面唇膏flesh3/omi 质地棒得飞起,330.0,114.0,广东 广州,visionqueen,//item.taobao.com/item.htm?id=566189437697&ns=1&abbucket=13#detail,37620.0,其他,个人,其他,320-340
62,97.0,TOMFORD TF汤姆福特唇膏口红黑管#15 #16 #80白管#05 #07生日礼物,330.0,1287.0,浙江 杭州,lovexspp,//item.taobao.com/item.htm?id=561171202371&ns=1&abbucket=13#detail,424710.0,其他,个人,Ford/福特,320-340
63,98.0,[春春同款]欧莱雅口红纷泽滋润唇膏 色泽持久保湿枫叶色南瓜色619,125.0,4214.0,上海,欧莱雅官方旗舰店,//detail.tmall.com/item.htm?id=7904836346&ns=1&abbucket=13,526750.0,天猫,商家,其他,120-140
